Episode 3409, Reward: -31.56, Step: 22301
Episode 3410, Reward: -30.80, Step: 22310
Episode 3411, Reward: -31.63, Step: 22318
Episode 3412, Reward: -30.24, Step: 22326
Episode 3413, Reward: -34.79, Step: 22334
Episode 3414, Reward: -28.56, Step: 22344
Episode 3415, Reward: -32.50, Step: 22357
Episode 3416, Reward: -29.34, Step: 22367
Episode 3417, Reward: -32.17, Step: 22376
Episode 3418, Reward: -30.44, Step: 22384
Episode 3419, Reward: -53.78, Step: 22391
Episode 3420, Reward: -23.80, Step: 22409
Episode 3421, Reward: -24.53, Step: 22427
Episode 3422, Reward: -33.30, Step: 22435
Episode 3423, Reward: -37.63, Step: 22443
Episode 3424, Reward: -35.81, Step: 22457
Episode 3425, Reward: -31.23, Step: 22466
Episode 3426, Reward: -30.02, Step: 22477
Episode 3427, Reward: -32.34, Step: 22483
Episode 3428, Reward: -31.09, Step: 22490
Episode 3429, Reward: -32.94, Step: 22498
Episode 3430, Reward: -33.43, Step: 22507
Episode 3431, Reward: -35.36, Step: 22513
Episode 3432, Reward: -31.26, Step: 22522
Episode 3433, Reward: -30.72, Step: 22530
Episode 3434, Reward: -30.71, Step: 22540
Episode 3435, Reward: -31.10, Step: 22547
Episode 3436, Reward: -35.35, Step: 22553
Episode 3437, Reward: -34.07, Step: 22568
Episode 3438, Reward: -43.16, Step: 22575
Episode 3439, Reward: -31.74, Step: 22582
Episode 3440, Reward: -29.42, Step: 22594
Episode 3441, Reward: -33.31, Step: 22600
Episode 3442, Reward: -32.78, Step: 22606
Episode 3443, Reward: -34.33, Step: 22613
Episode 3444, Reward: -27.01, Step: 22628
Episode 3445, Reward: -28.56, Step: 22639
Episode 3446, Reward: -31.09, Step: 22646
Episode 3447, Reward: -40.17, Step: 22662
Episode 3448, Reward: -30.42, Step: 22676
Episode 3449, Reward: -31.27, Step: 22681
Episode 3450, Reward: -31.46, Step: 22691
Episode 3451, Reward: -30.49, Step: 22699
Episode 3452, Reward: -26.97, Step: 22714
Episode 3453, Reward: -29.89, Step: 22721
Episode 3454, Reward: -30.55, Step: 22727
Episode 3455, Reward: -34.21, Step: 22734
Episode 3456, Reward: -33.07, Step: 22740
Episode 3457, Reward: -27.24, Step: 22749
Episode 3458, Reward: -34.36, Step: 22759
Episode 3459, Reward: -28.00, Step: 22770
Episode 3460, Reward: -30.83, Step: 22778
Episode 3461, Reward: -33.56, Step: 22787
Episode 3462, Reward: -25.20, Step: 22801
Episode 3463, Reward: -31.23, Step: 22808
Episode 3464, Reward: -31.74, Step: 22814
Episode 3465, Reward: -34.43, Step: 22820
Episode 3466, Reward: -33.60, Step: 22832
Episode 3467, Reward: -32.91, Step: 22838
Episode 3468, Reward: -36.40, Step: 22844
Episode 3469, Reward: -30.46, Step: 22853
Episode 3470, Reward: -33.05, Step: 22859
Episode 3471, Reward: -53.67, Step: 22868
Episode 3472, Reward: -34.14, Step: 22875
Episode 3473, Reward: -27.07, Step: 22887
Episode 3474, Reward: -35.27, Step: 22893
Episode 3475, Reward: -29.96, Step: 22899
Episode 3476, Reward: -34.47, Step: 22905
Episode 3477, Reward: -35.21, Step: 22911
Episode 3478, Reward: -35.27, Step: 22917
Episode 3479, Reward: -37.65, Step: 22925
Episode 3480, Reward: -30.73, Step: 22931
Episode 3481, Reward: -35.61, Step: 22939
Episode 3482, Reward: -34.17, Step: 22945
Episode 3483, Reward: -27.92, Step: 22954
Episode 3484, Reward: -32.52, Step: 22960
Episode 3485, Reward: -32.77, Step: 22969
Episode 3486, Reward: -31.06, Step: 22976
Episode 3487, Reward: -27.36, Step: 22983
Episode 3488, Reward: -33.93, Step: 22989
Episode 3489, Reward: -29.94, Step: 22995
Episode 3490, Reward: -34.04, Step: 23004
Episode 3491, Reward: -31.39, Step: 23018
Episode 3492, Reward: -28.11, Step: 23032
Episode 3493, Reward: -30.30, Step: 23038
